City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
93,Santo Antonio Do Ica,BR,-3.1022,-67.9397,74.7,97,100,1.3,overcast clouds
94,Ruidoso,US,33.3317,-105.673,52.75,37,0,6.91,clear sky
95,Sakakah,SA,29.9697,40.2064,72.97,31,17,4.56,few clouds
96,Hamilton,US,39.1834,-84.5333,48.78,49,0,8.05,clear sky
97,Zarubino,RU,42.63,131.0922,59.18,53,75,5.37,broken clouds
98,Victoria,HK,22.2855,114.1577,82.45,66,43,7.0,scattered clouds
99,Mto Wa Mbu,TZ,-3.35,35.85,64.44,85,100,4.0,overcast clouds
100,Atuona,PF,-9.8,-139.0333,77.23,67,5,16.55,clear sky
101,West Monroe,US,32.5185,-92.1476,61.52,61,0,3.44,clear sky
102,Bisho,ZA,-32.8472,27.4422,57.61,89,68,4.72,broken clouds
103,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,45,8.63,light rain
104,Tiksi,RU,71.6872,128.8694,3.74,92,10,9.4,clear sky
105,Katsuura,JP,35.1333,140.3,69.44,55,0,11.61,clear sky
106,Strunino,RU,56.3833,38.5667,36.28,85,99,5.82,overcast clouds
107,Aras,ES,42.5617,-2.356,59.43,63,20,3.44,few clouds
108,Naron,ES,43.5167,-8.1528,61.65,75,26,21.25,scattered clouds
109,Gamba,GA,-2.65,10.0,75.2,88,58,4.29,broken clouds
110,Hope,US,33.6671,-93.5916,64.45,64,0,5.41,clear sky
111,Datong,CN,40.0936,113.2914,60.31,44,36,5.82,scattered clouds
112,Husavik,IS,66.0449,-17.3389,35.96,90,100,3.06,overcast clouds
113,Waingapu,ID,-9.6567,120.2641,87.12,64,92,8.55,overcast clouds
114,Leningradskiy,RU,69.3833,178.4167,30.69,97,100,7.63,overcast clouds
115,Horki,BY,54.2861,30.9842,40.05,91,100,5.5,overcast clouds
116,Tres Arroyos,AR,-38.3739,-60.2798,46.94,79,1,4.5,clear sky
117,Mazyr,BY,52.0495,29.2456,38.5,87,90,4.36,overcast clouds
118,Belmonte,BR,-15.8631,-38.8828,73.56,83,49,6.51,scattered clouds
119,Bandarbeyla,SO,9.4942,50.8122,77.36,87,1,7.36,light rain
120,Butaritari,KI,3.0707,172.7902,81.23,74,19,9.28,few clouds
121,Nikolskoye,RU,59.7035,30.7861,40.91,96,100,3.49,overcast clouds
122,Cape Town,ZA,-33.9258,18.4232,60.89,82,0,5.99,clear sky
123,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,100,10.36,light snow
124,Touros,BR,-5.1989,-35.4608,77.32,71,47,17.83,scattered clouds
125,Svetlyy,RU,54.675,20.1347,35.65,77,93,10.85,overcast clouds
126,Bay Roberts,CA,47.5999,-53.2648,63.52,96,100,4.0,light rain
127,Dawlatabad,AF,36.4141,64.9053,59.72,35,83,1.83,broken clouds
128,Opuwo,NA,-18.0607,13.84,71.15,37,30,2.01,scattered clouds
129,Sampit,ID,-2.5333,112.95,87.33,67,100,2.39,light rain
130,Richards Bay,ZA,-28.783,32.0377,71.04,91,100,11.18,overcast clouds
131,Yar-Sale,RU,66.8333,70.8333,31.17,97,100,13.4,light snow
132,Kamskiye Polyany,RU,55.4307,51.4171,32.81,89,6,4.29,clear sky
133,Ancud,CL,-41.8697,-73.8203,41.23,86,12,6.17,few clouds
134,Avarua,CK,-21.2078,-159.775,78.85,78,100,13.8,overcast clouds
135,Waddan,LY,29.1614,16.139,63.5,74,4,5.23,clear sky
136,Bonavista,CA,48.6499,-53.1147,57.4,95,100,14.97,overcast clouds
